2025-02-27 08:51:22,788 p=2641381 u=alex n=ansible |  [ERROR]: User interrupted execution

2025-02-27 08:52:22,664 p=2689193 u=alex n=ansible | PLAY [all] ******************************************************************************************************************************************************************
2025-02-27 08:52:22,678 p=2689193 u=alex n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************************************
2025-02-27 08:52:22,966 p=2689193 u=alex n=ansible | fatal: [10.0.0.241]: UNREACHABLE! => {"changed": false, "msg": "Failed to connect to the host via ssh: Warning: Permanently added '10.0.0.241' (ED25519) to the list of known hosts.\r\nalex@10.0.0.241: Permission denied (publickey,password).", "unreachable": true}
2025-02-27 08:52:22,967 p=2689193 u=alex n=ansible | PLAY RECAP ******************************************************************************************************************************************************************
2025-02-27 08:52:22,967 p=2689193 u=alex n=ansible | 10.0.0.241                 : ok=0    changed=0    unreachable=1    failed=0    skipped=0    rescued=0    ignored=0   
2025-02-27 08:53:43,153 p=2753689 u=alex n=ansible | PLAY [all] ******************************************************************************************************************************************************************
2025-02-27 08:53:43,185 p=2753689 u=alex n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************************************
2025-02-27 08:53:44,892 p=2753689 u=alex n=ansible | ok: [10.0.0.241]
2025-02-27 08:53:44,910 p=2753689 u=alex n=ansible | TASK [include_role : patch] *************************************************************************************************************************************************
2025-02-27 08:53:44,939 p=2753689 u=alex n=ansible | TASK [patch : Upgrade software] *********************************************************************************************************************************************
2025-02-27 08:53:53,051 p=2753689 u=alex n=ansible | changed: [10.0.0.241]
2025-02-27 08:53:53,060 p=2753689 u=alex n=ansible | TASK [patch : Check if a reboot is required] ********************************************************************************************************************************
2025-02-27 08:53:53,447 p=2753689 u=alex n=ansible | ok: [10.0.0.241]
2025-02-27 08:53:53,462 p=2753689 u=alex n=ansible | TASK [patch : Reboot server if required] ************************************************************************************************************************************
2025-02-27 08:53:53,477 p=2753689 u=alex n=ansible | skipping: [10.0.0.241]
2025-02-27 08:53:53,491 p=2753689 u=alex n=ansible | TASK [patch : Apt autoremove] ***********************************************************************************************************************************************
2025-02-27 08:54:55,419 p=2753689 u=alex n=ansible | changed: [10.0.0.241]
2025-02-27 08:54:55,434 p=2753689 u=alex n=ansible | TASK [include_role : kvm_host] **********************************************************************************************************************************************
2025-02-27 08:54:55,468 p=2753689 u=alex n=ansible | TASK [kvm_host : Install KVM apt packages] **********************************************************************************************************************************
2025-02-27 08:55:06,304 p=2753689 u=alex n=ansible | changed: [10.0.0.241] => (item=qemu-kvm)
2025-02-27 08:55:09,472 p=2753689 u=alex n=ansible | changed: [10.0.0.241] => (item=libvirt-clients)
2025-02-27 08:55:20,807 p=2753689 u=alex n=ansible | changed: [10.0.0.241] => (item=libvirt-daemon-system)
2025-02-27 08:55:23,127 p=2753689 u=alex n=ansible | changed: [10.0.0.241] => (item=bridge-utils)
2025-02-27 08:56:03,369 p=2753689 u=alex n=ansible | changed: [10.0.0.241] => (item=libguestfs-tools)
2025-02-27 08:56:05,955 p=2753689 u=alex n=ansible | changed: [10.0.0.241] => (item=genisoimage)
2025-02-27 08:56:14,771 p=2753689 u=alex n=ansible | changed: [10.0.0.241] => (item=virtinst)
2025-02-27 08:56:17,204 p=2753689 u=alex n=ansible | changed: [10.0.0.241] => (item=libosinfo-bin)
2025-02-27 08:56:17,225 p=2753689 u=alex n=ansible | TASK [kvm_host : add alex to libvert and kvm groups] ************************************************************************************************************************
2025-02-27 08:56:17,691 p=2753689 u=alex n=ansible | fatal: [10.0.0.241]: FAILED! => {"changed": false, "msg": "Group libvert does not exist"}
2025-02-27 08:56:17,693 p=2753689 u=alex n=ansible | PLAY RECAP ******************************************************************************************************************************************************************
2025-02-27 08:56:17,693 p=2753689 u=alex n=ansible | 10.0.0.241                 : ok=5    changed=3    unreachable=0    failed=1    skipped=1    rescued=0    ignored=0   
2025-02-27 08:56:47,247 p=2937610 u=alex n=ansible | PLAY [all] ******************************************************************************************************************************************************************
2025-02-27 08:56:47,278 p=2937610 u=alex n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************************************
2025-02-27 08:56:48,632 p=2937610 u=alex n=ansible | ok: [10.0.0.241]
2025-02-27 08:56:48,651 p=2937610 u=alex n=ansible | TASK [include_role : patch] *************************************************************************************************************************************************
2025-02-27 08:56:48,680 p=2937610 u=alex n=ansible | TASK [patch : Upgrade software] *********************************************************************************************************************************************
2025-02-27 08:56:50,457 p=2937610 u=alex n=ansible | ok: [10.0.0.241]
2025-02-27 08:56:50,463 p=2937610 u=alex n=ansible | TASK [patch : Check if a reboot is required] ********************************************************************************************************************************
2025-02-27 08:56:50,843 p=2937610 u=alex n=ansible | ok: [10.0.0.241]
2025-02-27 08:56:50,849 p=2937610 u=alex n=ansible | TASK [patch : Reboot server if required] ************************************************************************************************************************************
2025-02-27 08:56:50,863 p=2937610 u=alex n=ansible | skipping: [10.0.0.241]
2025-02-27 08:56:50,869 p=2937610 u=alex n=ansible | TASK [patch : Apt autoremove] ***********************************************************************************************************************************************
2025-02-27 08:56:51,712 p=2937610 u=alex n=ansible | ok: [10.0.0.241]
